id,DateTime,Product Name,Purchase Price,Membership?
1,2020-02-26 01:16:57,Lid Coffee Cup 8oz Blk,$10.61,true
2,2020-01-26 10:08:48,Soup V8 Roasted Red Pepper,$10.44,true
3,2020-02-27 09:49:38,Apple - Granny Smith,$39.43,true
4,2020-03-07 00:18:53,Nutmeg - Ground,$36.52,true
5,2020-02-13 20:35:54,Anchovy Paste - 56 G Tube,$27.24,true
6,2020-02-16 15:52:47,Prunes - Pitted,$5.15,false
7,2020-01-02 22:44:02,Venison - Ground,$13.26,false
8,2020-03-07 18:26:16,Sunflower Seed Raw,$34.68,false
9,2020-02-21 21:17:24,Soup - Campbells Bean Medley,$37.78,false
10,2020-02-11 06:45:11,"Bread - Multigrain, Loaf",$10.16,true
11,2020-01-31 23:33:44,Grapes - Black,$27.73,true
12,2020-02-18 22:55:52,"Tomatoes - Vine Ripe, Yellow",$7.96,true
13,2020-01-07 22:38:43,"Beans - Black Bean, Dry",$23.25,false
14,2020-01-27 10:42:26,Puree - Mocha,$7.67,false
15,2020-01-31 07:13:53,Sauce - Rosee,$5.15,true
16,2020-01-09 16:02:20,Soup - Campbells Chili Veg,$13.95,true
17,2020-01-09 13:47:01,"Juice - Clam, 46 Oz",$11.80,true
18,2020-02-24 00:24:20,Wine - Carmenere Casillero Del,$33.42,false
19,2020-03-14 21:55:23,Sauce - Thousand Island,$16.23,false
20,2020-02-22 13:31:39,Bagel - Everything Presliced,$37.09,false
21,2020-03-21 05:44:40,Sauce - Rosee,$26.13,false
22,2020-03-18 13:11:20,Cakes Assorted,$22.52,false
23,2020-01-29 10:40:49,Sugar - Icing,$24.92,false
24,2020-02-18 00:40:19,Black Currants,$31.79,false
25,2020-02-03 16:51:46,Appetizer - Assorted Box,$22.29,false
26,2020-03-29 03:31:59,Cheese - Gorgonzola,$12.91,false
27,2020-03-29 21:33:44,"Pasta - Shells, Medium, Dry",$13.74,false
28,2020-03-04 15:18:27,Crab Brie In Phyllo,$26.26,false
29,2020-01-14 11:36:05,Spice - Montreal Steak Spice,$30.07,true
30,2020-02-10 09:04:59,Quinoa,$25.41,false
31,2020-02-23 06:04:04,Pastry - Butterscotch Baked,$7.00,false
32,2020-03-31 11:59:27,Bread - 10 Grain Parisian,$17.78,true
33,2020-03-11 11:42:33,Soup - Campbells Tomato Ravioli,$19.15,false
34,2020-01-14 20:57:08,Muffin Hinge Container 6,$20.01,false
35,2020-03-03 14:52:14,"Yogurt - Strawberry, 175 Gr",$30.08,false
36,2020-03-19 10:31:02,Lemon Pepper,$26.05,false
37,2020-02-18 05:39:07,Pop Shoppe Cream Soda,$28.22,false
38,2020-03-23 11:38:33,Ice Cream Bar - Rolo Cone,$29.80,false
39,2020-02-05 18:09:55,Yams,$7.17,true
40,2020-01-21 01:51:10,Cheese - Perron Cheddar,$28.76,true
41,2020-03-17 06:16:16,Muffin - Zero Transfat,$22.49,false
42,2020-03-06 15:02:57,"Ice - Clear, 300 Lb For Carving",$37.61,false
43,2020-03-15 05:01:47,"Veal - Tenderloin, Untrimmed",$6.33,false
44,2020-01-23 17:26:38,Sauce - Fish 25 Ozf Bottle,$33.29,true
45,2020-03-07 20:50:51,Gloves - Goldtouch Disposable,$38.99,true
46,2020-03-29 21:36:01,Cilantro / Coriander - Fresh,$18.93,true
47,2020-02-11 10:07:07,Chips - Doritos,$20.69,false
48,2020-02-10 17:48:34,Sugar - Palm,$24.16,true
49,2020-01-22 00:57:45,"Wine - White, Gewurtzraminer",$31.91,false
50,2020-01-11 11:35:38,Gloves - Goldtouch Disposable,$26.40,false
51,2020-02-25 02:34:14,"Cheese - Brie, Triple Creme",$22.38,false
52,2020-03-03 14:25:25,Cheese - Pont Couvert,$31.64,false
53,2020-03-20 07:11:22,Soup - French Can Pea,$12.27,true
54,2020-01-25 17:26:08,"Juice - Cranberry, 341 Ml",$24.43,false
55,2020-01-05 07:16:51,Tea - Apple Green Tea,$23.05,false
56,2020-01-26 08:59:19,Flower - Daisies,$17.39,false
57,2020-03-06 02:27:35,Chevril,$30.00,false
58,2020-03-06 01:01:48,Appetizer - Sausage Rolls,$18.43,false
59,2020-02-24 22:01:23,Dc Hikiage Hira Huba,$5.21,true
60,2020-03-21 23:00:54,Crackers - Graham,$30.23,false
61,2020-02-03 12:52:55,Liqueur - Melon,$11.90,false
62,2020-03-28 13:42:24,Mix - Cappucino Cocktail,$36.77,true
63,2020-01-02 06:20:22,Sauce - Rosee,$11.49,false
64,2020-02-22 17:10:45,Pineapple - Regular,$35.18,false
65,2020-02-16 19:14:41,Rice - Jasmine Sented,$39.25,false
66,2020-02-28 09:14:57,Leeks - Large,$20.27,false
67,2020-03-14 06:41:46,Bread - Granary Small Pull,$21.05,false
68,2020-02-21 16:11:05,Grapes - Black,$35.19,true
69,2020-01-21 14:36:02,Soup - Campbells Broccoli,$20.80,false
70,2020-02-27 20:58:21,"Halibut - Whole, Fresh",$18.23,false
71,2020-01-18 12:45:14,Cream Of Tartar,$36.20,false
72,2020-03-11 01:41:34,Trueblue - Blueberry,$33.15,true
