id,DateTime,Product Name,Purchase Price,Membership?,ip_address
1,2020-05-05 05:56:26,Beef - Striploin,$16.39,true,6.127.246.95
2,2020-10-17 18:34:54,Soup - Chicken And Wild Rice,$22.32,true,189.188.22.206
3,2020-06-24 10:38:14,Chicken - Wieners,$14.72,false,206.124.251.79
4,2021-03-03 04:30:15,Monkfish - Fresh,$21.32,true,152.141.240.69
5,2020-03-11 08:13:11,"Cake Circle, Foil, Scallop",$26.21,true,12.144.211.137
6,2020-02-25 01:23:50,Kolrabi,$25.61,false,189.24.182.83
7,2020-07-29 02:42:02,Sauce - Hp,$23.22,true,124.253.21.148
8,2020-06-03 15:33:57,Beans - French,$10.81,false,53.49.22.87
9,2020-07-21 10:16:36,V8 - Vegetable Cocktail,$26.75,true,169.67.183.222
10,2020-06-04 03:55:58,"Marjoram - Dried, Rubbed",$10.48,true,144.161.20.51
11,2020-05-27 14:42:42,Wine - Puligny Montrachet A.,$17.59,true,145.121.189.249
12,2020-06-06 14:17:57,Pastry - Banana Muffin - Mini,$33.83,false,143.240.142.246
13,2020-07-04 05:32:24,"Soup - Canadian Pea, Dry Mix",$18.68,false,64.50.168.33
14,2020-02-16 22:00:00,Oil - Pumpkinseed,$24.56,false,154.165.229.196
15,2020-06-15 16:35:25,"Lemonade - Kiwi, 591 Ml",$9.67,false,52.201.118.204
16,2021-01-26 14:33:52,"Rum - Cream, Amarula",$21.71,true,30.155.15.64
17,2021-01-19 11:35:38,V8 - Tropical Blend,$34.75,true,122.163.153.183
18,2020-04-28 11:33:09,"Cheese - Mozzarella, Shredded",$7.47,false,251.64.123.46
19,2020-03-09 15:22:48,Soy Protein,$17.45,true,209.133.82.31
20,2021-01-20 13:53:39,Dates,$34.51,false,244.33.169.181
21,2020-08-02 16:51:36,Potato - Sweet,$23.82,true,105.99.105.191
22,2020-11-05 07:59:58,"Pasta - Rotini, Dry",$34.29,false,188.203.139.160
23,2020-11-17 23:46:41,Mushroom - Chanterelle Frozen,$17.02,true,225.76.84.169
24,2020-12-06 08:35:13,Soup V8 Roasted Red Pepper,$34.76,false,57.116.20.107
25,2020-05-07 01:57:17,Wild Boar - Tenderloin,$27.71,false,10.154.201.53
26,2020-06-06 14:13:57,Bols Melon Liqueur,$34.66,false,202.132.180.214
27,2020-05-27 07:22:20,Tea - Herbal Sweet Dreams,$13.11,false,160.233.132.84
28,2020-06-12 04:56:53,Chinese Foods - Thick Noodles,$29.30,true,251.202.11.171
29,2020-07-21 15:35:41,Cornflakes,$25.91,true,48.48.29.63
30,2020-10-19 23:08:54,Squeeze Bottle,$22.79,true,254.136.85.142
31,2020-08-19 01:09:55,"Pasta - Spaghetti, Dry",$30.43,false,59.117.183.136
32,2020-03-08 20:34:27,"Ice - Clear, 300 Lb For Carving",$9.44,false,36.138.176.199
33,2021-01-20 20:16:57,"Cheese - Brie, Triple Creme",$35.21,false,157.121.141.157
34,2020-04-16 13:28:03,Alize Sunset,$32.46,true,235.223.137.62
35,2021-01-16 15:55:58,Muffin - Mix - Mango Sour Cherry,$25.17,false,43.225.239.74
36,2020-11-10 18:51:01,Beef - Prime Rib Aaa,$15.68,true,239.1.214.171
37,2020-12-12 05:01:50,Muffin Puck Ww Carrot,$10.76,true,15.101.39.93
38,2020-09-17 15:10:16,Radish,$39.50,true,183.9.205.166
39,2020-05-23 12:10:00,Ginger - Pickled,$9.43,true,128.12.180.201
40,2020-05-04 02:41:12,Corn - On The Cob,$30.69,false,182.116.95.25
41,2020-07-30 12:18:37,Steamers White,$16.47,false,17.174.17.83
42,2020-08-16 21:32:35,Foil Cont Round,$15.93,true,143.10.72.129
43,2020-10-25 00:27:44,Longos - Grilled Salmon With Bbq,$6.77,true,104.255.154.109
44,2020-03-10 18:34:09,Cocoa Powder - Dutched,$22.88,true,201.154.86.230
45,2020-11-14 04:27:27,Sauce - Marinara,$6.37,false,210.80.140.210
46,2020-08-29 03:05:45,"Soup - Knorr, Chicken Gumbo",$16.82,true,233.26.252.61
47,2020-02-26 23:25:22,"Squash - Pattypan, Yellow",$28.11,true,231.69.106.179
48,2020-12-19 17:38:44,Dry Ice,$22.76,true,192.11.47.59
49,2020-02-18 01:16:27,Soup - Campbells Broccoli,$12.57,false,128.40.67.113
50,2020-04-06 10:37:11,"Appetizer - Mini Egg Roll, Shrimp",$15.96,false,239.63.104.127
51,2020-04-24 22:58:48,Sole - Fillet,$32.68,true,182.223.171.112
52,2020-11-22 15:07:25,"Salmon - Smoked, Sliced",$7.63,false,28.69.24.252
53,2021-01-18 14:07:58,Potatoes - Fingerling 4 Oz,$34.20,true,235.146.40.3
54,2020-08-17 04:40:33,"Liqueur Banana, Ramazzotti",$29.90,false,66.176.31.44
55,2020-11-14 00:28:58,Watercress,$26.42,false,123.120.44.145
56,2020-11-04 08:51:28,Cheese - Cheddarsliced,$16.88,true,54.104.66.34
57,2020-06-18 22:45:40,Kolrabi,$33.10,false,177.212.69.144
58,2020-11-23 07:16:15,Sage Derby,$20.27,true,206.163.18.9
59,2020-12-13 10:12:07,Yogurt - French Vanilla,$37.13,false,181.194.57.66
60,2020-10-16 00:14:17,"Sauce - Soya, Dark",$17.96,true,63.102.124.153
61,2021-02-22 19:55:30,Lettuce - Boston Bib - Organic,$9.18,true,149.250.33.229
62,2020-09-13 00:53:51,Cornish Hen,$10.17,true,97.244.48.32
63,2020-05-31 10:43:38,Bread - White Epi Baguette,$7.02,true,120.204.196.81
64,2020-07-03 14:59:40,Lettuce - Radicchio,$20.21,false,109.9.10.184
65,2021-02-24 08:54:51,Bread - Onion Focaccia,$25.91,false,62.243.28.168
